Timestamp (s),Position_X (m),Position_Y (m),Position_Z (m),Speed_X (m/s),Speed_Y (m/s),Speed_Z (m/s),Pitch (rad),Roll (rad),Yaw (rad),Image_Center_Offset (pixels)
0.0 s,-4.84 m,8.82 m,0.48 m,0.01 m/s,-0.00 m/s,-0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,53 pixels
0.37 s,-4.84 m,8.82 m,0.48 m,0.03 m/s,-0.02 m/s,-0.00 m/s,0.02 rad,0.01 rad,-0.00 rad,53 pixels
0.4 s,-4.84 m,8.82 m,0.48 m,0.04 m/s,-0.02 m/s,-0.00 m/s,0.02 rad,0.01 rad,-0.00 rad,54 pixels
0.42 s,-4.84 m,8.82 m,0.48 m,0.04 m/s,-0.02 m/s,-0.00 m/s,0.02 rad,0.01 rad,-0.00 rad,54 pixels
0.45 s,-4.84 m,8.82 m,0.47 m,0.04 m/s,-0.02 m/s,-0.00 m/s,0.01 rad,0.01 rad,-0.00 rad,54 pixels
0.55 s,-4.84 m,8.82 m,0.47 m,0.05 m/s,-0.02 m/s,-0.00 m/s,0.01 rad,0.00 rad,-0.00 rad,52 pixels
0.76 s,-4.82 m,8.81 m,0.47 m,0.07 m/s,-0.02 m/s,-0.00 m/s,0.01 rad,0.00 rad,-0.00 rad,51 pixels
0.8 s,-4.82 m,8.81 m,0.47 m,0.07 m/s,-0.03 m/s,-0.00 m/s,0.01 rad,0.00 rad,-0.00 rad,49 pixels
0.93 s,-4.81 m,8.81 m,0.47 m,0.08 m/s,-0.03 m/s,-0.00 m/s,0.01 rad,0.00 rad,-0.00 rad,47 pixels
1.07 s,-4.80 m,8.81 m,0.47 m,0.09 m/s,-0.02 m/s,-0.00 m/s,0.01 rad,0.00 rad,-0.00 rad,45 pixels
1.19 s,-4.79 m,8.80 m,0.47 m,0.10 m/s,-0.02 m/s,-0.00 m/s,0.01 rad,0.00 rad,-0.00 rad,43 pixels
1.31 s,-4.79 m,8.80 m,0.47 m,0.10 m/s,-0.02 m/s,-0.00 m/s,0.01 rad,0.00 rad,-0.00 rad,41 pixels
1.44 s,-4.77 m,8.80 m,0.47 m,0.11 m/s,-0.02 m/s,-0.00 m/s,0.01 rad,0.00 rad,-0.00 rad,40 pixels
1.55 s,-4.76 m,8.80 m,0.47 m,0.11 m/s,-0.02 m/s,-0.00 m/s,0.01 rad,0.00 rad,-0.00 rad,38 pixels
1.68 s,-4.75 m,8.80 m,0.47 m,0.11 m/s,-0.02 m/s,-0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,36 pixels
1.81 s,-4.74 m,8.79 m,0.47 m,0.12 m/s,-0.02 m/s,-0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,35 pixels
1.93 s,-4.73 m,8.79 m,0.47 m,0.12 m/s,-0.01 m/s,-0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,33 pixels
2.05 s,-4.72 m,8.79 m,0.47 m,0.12 m/s,-0.01 m/s,-0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,31 pixels
