Timestamp (s),Position_X (m),Position_Y (m),Position_Z (m),Speed_X (m/s),Speed_Y (m/s),Speed_Z (m/s),Pitch (rad),Roll (rad),Yaw (rad),Image_Center_Offset (pixels),rotation_end_time£¨s£©,rotation_end_time£¨s£©,Rotation Duration (s)
0.0 s,-4.85 m,8.80 m,0.46 m,0.00 m/s,0.02 m/s,-0.00 m/s,-0.000618134,-0.001037183,-1.57720873,-74 pixels,N/A,N/A,N/A
0.2 s,-4.85 m,8.81 m,0.46 m,0.00 m/s,0.01 m/s,-0.00 m/s,0.011210391912254885,-0.001167004,-1.577106081,-74 pixels,N/A,N/A,N/A
0.24 s,-4.85 m,8.81 m,0.46 m,0.00 m/s,0.01 m/s,-0.00 m/s,0.014766560490567078,-0.001164065,-1.577122635,-75 pixels,N/A,N/A,N/A
0.37 s,-4.85 m,8.81 m,0.46 m,0.00 m/s,-0.01 m/s,0.00 m/s,0.02336056843604528,-0.001223015,-1.577244205,-75 pixels,N/A,N/A,N/A
0.49 s,-4.85 m,8.81 m,0.46 m,0.01 m/s,-0.03 m/s,0.00 m/s,0.024622706924655152,-0.001179747,-1.577106051,-75 pixels,N/A,N/A,N/A
0.64 s,-4.85 m,8.80 m,0.46 m,0.01 m/s,-0.05 m/s,0.00 m/s,0.021985344685978556,-0.001045009,-1.577173871,-74 pixels,N/A,N/A,N/A
0.78 s,-4.85 m,8.80 m,0.46 m,0.01 m/s,-0.07 m/s,0.00 m/s,0.017964208951731127,-0.000883967,-1.577233881,-73 pixels,N/A,N/A,N/A
0.92 s,-4.85 m,8.79 m,0.46 m,0.01 m/s,-0.09 m/s,0.00 m/s,0.01418489483056894,-0.000707892,-1.577264188,-73 pixels,N/A,N/A,N/A
1.04 s,-4.85 m,8.78 m,0.46 m,0.01 m/s,-0.10 m/s,0.00 m/s,0.011385437575955601,-0.00036583,-1.577356755,-71 pixels,N/A,N/A,N/A
1.19 s,-4.85 m,8.76 m,0.46 m,0.01 m/s,-0.11 m/s,0.00 m/s,0.009046540324175904,9.739894115998831e-05,-1.577340787,-70 pixels,N/A,N/A,N/A
