Timestamp (s),Position_X (m),Position_Y (m),Position_Z (m),Speed_X (m/s),Speed_Y (m/s),Speed_Z (m/s),Pitch (rad),Roll (rad),Yaw (rad),Image_Center_Offset (pixels),Rotation Start Time (s),rotation_end_time (s),Rotation Duration (s)
0.0 s,-4.69 m,8.94 m,0.46 m,0.00 m/s,-0.01 m/s,-0.01 m/s,0.0021286375968732254,0.00026342769939276397,-1.564549883,-54 pixels,N/A,N/A,N/A
0.37 s,-4.69 m,8.94 m,0.46 m,0.00 m/s,-0.02 m/s,-0.01 m/s,0.011572891792026184,-0.001390839,-1.594940777,-56 pixels,N/A,N/A,N/A
0.41 s,-4.69 m,8.94 m,0.46 m,0.00 m/s,-0.02 m/s,-0.01 m/s,0.012695793225840279,-0.001569899,-1.596194339,-57 pixels,N/A,N/A,N/A
0.43 s,-4.69 m,8.94 m,0.46 m,0.00 m/s,-0.02 m/s,-0.01 m/s,0.012695793225840279,-0.001569899,-1.596194339,-57 pixels,N/A,N/A,N/A
0.45 s,-4.69 m,8.94 m,0.46 m,0.00 m/s,-0.02 m/s,-0.01 m/s,0.013889412477292118,-0.001759633,-1.597425951,-57 pixels,N/A,N/A,N/A
0.47 s,-4.69 m,8.94 m,0.46 m,0.00 m/s,-0.02 m/s,-0.01 m/s,0.014259645225320835,-0.001816952,-1.597791076,-57 pixels,N/A,N/A,N/A
0.64 s,-4.69 m,8.93 m,0.46 m,0.00 m/s,-0.03 m/s,-0.01 m/s,0.01852527885164564,-0.002345593,-1.600815902,-58 pixels,N/A,N/A,N/A
0.81 s,-4.69 m,8.93 m,0.46 m,0.01 m/s,-0.05 m/s,-0.00 m/s,0.01864829053115296,-0.002364131,-1.599428935,-57 pixels,N/A,N/A,N/A
0.83 s,-4.69 m,8.93 m,0.46 m,0.01 m/s,-0.05 m/s,-0.00 m/s,0.01863287816722476,-0.002361044,-1.599367762,-57 pixels,N/A,N/A,N/A
0.84 s,-4.69 m,8.93 m,0.46 m,0.01 m/s,-0.05 m/s,-0.00 m/s,0.018572854698662704,-0.002349358,-1.599155398,-57 pixels,N/A,N/A,N/A
1.01 s,-4.69 m,8.92 m,0.46 m,0.01 m/s,-0.06 m/s,-0.00 m/s,0.017048834392617066,-0.002203685,-1.595502262,-56 pixels,N/A,N/A,N/A
1.19 s,-4.69 m,8.92 m,0.46 m,0.01 m/s,-0.08 m/s,-0.00 m/s,0.014763723770348373,-0.002086822,-1.591049075,-55 pixels,N/A,N/A,N/A
1.21 s,-4.69 m,8.92 m,0.46 m,0.01 m/s,-0.08 m/s,-0.00 m/s,0.014697492246654223,-0.00207703,-1.590911914,-55 pixels,N/A,N/A,N/A
1.23 s,-4.69 m,8.92 m,0.46 m,0.01 m/s,-0.08 m/s,-0.00 m/s,0.014243214367559183,-0.002030033,-1.589984015,-55 pixels,N/A,N/A,N/A
1.37 s,-4.69 m,8.91 m,0.46 m,0.01 m/s,-0.09 m/s,-0.00 m/s,0.012587012686824531,-0.001853775,-1.586535415,-53 pixels,N/A,N/A,N/A
1.69 s,-4.69 m,8.89 m,0.46 m,0.02 m/s,-0.11 m/s,-0.00 m/s,0.009494093954293589,-0.001186164,-1.580278965,-51 pixels,N/A,N/A,N/A
1.71 s,-4.69 m,8.89 m,0.46 m,0.02 m/s,-0.11 m/s,-0.00 m/s,0.009229672369956773,-0.001145102,-1.579772028,-49 pixels,N/A,N/A,N/A
1.88 s,-4.68 m,8.88 m,0.46 m,0.02 m/s,-0.11 m/s,-0.00 m/s,0.008188488720751811,-0.000734218,-1.577978498,-48 pixels,N/A,N/A,N/A
1.9 s,-4.68 m,8.88 m,0.46 m,0.02 m/s,-0.11 m/s,-0.00 m/s,0.008104564106034714,-0.000671468,-1.577837814,-48 pixels,N/A,N/A,N/A
2.08 s,-4.68 m,8.86 m,0.46 m,0.02 m/s,-0.12 m/s,-0.00 m/s,0.007293589330789176,-0.000144795,-1.576624762,-46 pixels,N/A,N/A,N/A
