Timestamp (s),Position_X (m),Position_Y (m),Position_Z (m),Speed_X (m/s),Speed_Y (m/s),Speed_Z (m/s),Pitch (rad),Roll (rad),Yaw (rad),Image_Center_Offset (pixels)
0.0 s,-0.09 m,-4.86 m,0.46 m,0.01 m/s,-0.00 m/s,0.00 m/s,-0.00 rad,-0.00 rad,-3.10 rad,76 pixels
0.13 s,-0.09 m,-4.86 m,0.46 m,0.01 m/s,-0.01 m/s,0.00 m/s,0.01 rad,-0.00 rad,-3.09 rad,77 pixels
0.2 s,-0.09 m,-4.86 m,0.46 m,0.00 m/s,-0.01 m/s,0.00 m/s,0.02 rad,-0.00 rad,-3.09 rad,77 pixels
0.35 s,-0.09 m,-4.86 m,0.46 m,-0.02 m/s,-0.01 m/s,0.00 m/s,0.02 rad,-0.00 rad,-3.09 rad,77 pixels
0.54 s,-0.09 m,-4.86 m,0.46 m,-0.05 m/s,-0.01 m/s,0.00 m/s,0.02 rad,0.00 rad,-3.10 rad,77 pixels
0.61 s,-0.09 m,-4.86 m,0.46 m,-0.06 m/s,-0.01 m/s,0.00 m/s,0.02 rad,0.00 rad,-3.10 rad,77 pixels
0.75 s,-0.10 m,-4.86 m,0.46 m,-0.08 m/s,-0.01 m/s,0.00 m/s,0.02 rad,0.00 rad,-3.10 rad,78 pixels
0.85 s,-0.11 m,-4.86 m,0.46 m,-0.09 m/s,-0.01 m/s,0.00 m/s,0.01 rad,0.00 rad,-3.11 rad,78 pixels
0.99 s,-0.12 m,-4.87 m,0.46 m,-0.10 m/s,-0.01 m/s,0.00 m/s,0.01 rad,0.00 rad,-3.11 rad,78 pixels
1.11 s,-0.13 m,-4.87 m,0.46 m,-0.11 m/s,-0.01 m/s,0.00 m/s,0.01 rad,0.00 rad,-3.11 rad,78 pixels
1.24 s,-0.14 m,-4.87 m,0.46 m,-0.11 m/s,-0.01 m/s,0.00 m/s,0.01 rad,0.00 rad,-3.11 rad,77 pixels
1.35 s,-0.15 m,-4.87 m,0.46 m,-0.12 m/s,-0.00 m/s,0.00 m/s,0.01 rad,0.00 rad,-3.11 rad,76 pixels
1.49 s,-0.17 m,-4.87 m,0.46 m,-0.12 m/s,0.00 m/s,0.00 m/s,0.00 rad,0.00 rad,-3.11 rad,75 pixels
1.6 s,-0.18 m,-4.87 m,0.46 m,-0.12 m/s,0.00 m/s,0.00 m/s,0.00 rad,0.00 rad,-3.12 rad,74 pixels
1.73 s,-0.19 m,-4.87 m,0.46 m,-0.12 m/s,0.01 m/s,0.00 m/s,0.00 rad,0.00 rad,-3.12 rad,73 pixels
1.84 s,-0.20 m,-4.87 m,0.46 m,-0.12 m/s,0.01 m/s,0.00 m/s,0.00 rad,0.00 rad,-3.12 rad,71 pixels
1.97 s,-0.22 m,-4.87 m,0.46 m,-0.12 m/s,0.01 m/s,0.00 m/s,0.00 rad,0.00 rad,-3.12 rad,70 pixels
2.11 s,-0.23 m,-4.86 m,0.46 m,-0.12 m/s,0.01 m/s,0.00 m/s,0.00 rad,0.00 rad,-3.12 rad,68 pixels
2.23 s,-0.24 m,-4.86 m,0.46 m,-0.12 m/s,0.01 m/s,0.00 m/s,0.00 rad,0.00 rad,-3.12 rad,67 pixels
