Timestamp (s),Position_X (m),Position_Y (m),Position_Z (m),Speed_X (m/s),Speed_Y (m/s),Speed_Z (m/s),Pitch (rad),Roll (rad),Yaw (rad),Image_Center_Offset (pixels)
0.0 s,-0.10 m,-4.87 m,0.49 m,-0.00 m/s,0.00 m/s,-0.01 m/s,0.00 rad,-0.00 rad,-0.00 rad,0 pixels
0.08 s,-0.10 m,-4.87 m,0.49 m,-0.00 m/s,0.00 m/s,-0.01 m/s,0.00 rad,-0.00 rad,-0.00 rad,0 pixels
0.2 s,-0.10 m,-4.86 m,0.49 m,0.00 m/s,0.00 m/s,-0.01 m/s,0.01 rad,-0.00 rad,-0.00 rad,0 pixels
0.23 s,-0.10 m,-4.86 m,0.49 m,0.00 m/s,0.00 m/s,-0.01 m/s,0.01 rad,-0.00 rad,-0.00 rad,0 pixels
0.35 s,-0.10 m,-4.86 m,0.48 m,0.02 m/s,0.00 m/s,-0.00 m/s,0.02 rad,-0.00 rad,-0.00 rad,0 pixels
0.48 s,-0.10 m,-4.86 m,0.48 m,0.04 m/s,0.00 m/s,-0.00 m/s,0.02 rad,-0.00 rad,-0.00 rad,0 pixels
0.49 s,-0.10 m,-4.86 m,0.48 m,0.04 m/s,0.00 m/s,-0.00 m/s,0.02 rad,-0.00 rad,-0.00 rad,0 pixels
0.61 s,-0.09 m,-4.86 m,0.48 m,0.07 m/s,0.00 m/s,-0.00 m/s,0.02 rad,-0.00 rad,-0.00 rad,0 pixels
0.74 s,-0.09 m,-4.86 m,0.48 m,0.08 m/s,0.01 m/s,-0.00 m/s,0.02 rad,-0.00 rad,-0.00 rad,0 pixels
0.74 s,-0.09 m,-4.86 m,0.48 m,0.08 m/s,0.01 m/s,-0.00 m/s,0.02 rad,-0.00 rad,-0.00 rad,0 pixels
0.76 s,-0.09 m,-4.86 m,0.48 m,0.08 m/s,0.01 m/s,-0.00 m/s,0.02 rad,-0.00 rad,-0.00 rad,0 pixels
0.9 s,-0.08 m,-4.86 m,0.48 m,0.10 m/s,0.01 m/s,-0.00 m/s,0.01 rad,0.00 rad,-0.00 rad,0 pixels
1.03 s,-0.07 m,-4.86 m,0.48 m,0.11 m/s,0.01 m/s,-0.00 m/s,0.01 rad,0.00 rad,-0.00 rad,0 pixels
1.18 s,-0.05 m,-4.86 m,0.48 m,0.11 m/s,0.01 m/s,-0.00 m/s,0.01 rad,0.00 rad,-0.00 rad,0 pixels
1.3 s,-0.04 m,-4.86 m,0.48 m,0.12 m/s,0.01 m/s,-0.00 m/s,0.01 rad,0.00 rad,-0.00 rad,0 pixels
1.42 s,-0.03 m,-4.86 m,0.48 m,0.12 m/s,0.01 m/s,-0.00 m/s,0.01 rad,0.00 rad,-0.00 rad,0 pixels
1.55 s,-0.02 m,-4.86 m,0.48 m,0.13 m/s,0.01 m/s,-0.00 m/s,0.01 rad,0.00 rad,-0.00 rad,0 pixels
1.66 s,-0.00 m,-4.86 m,0.48 m,0.13 m/s,0.01 m/s,-0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,0 pixels
1.8 s,0.01 m,-4.86 m,0.48 m,0.13 m/s,0.01 m/s,-0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,0 pixels
